Time	PV
2019-04-01	19964383
2019-04-02	20472406
2019-04-03	20458987
2019-04-04	20224364
2019-04-05	19717125
2019-04-06	13296625
2019-04-07	12175825
2019-04-08	21098085
2019-04-09	21124506
2019-04-10	21514441
2019-04-11	21471730
2019-04-12	20241589
2019-04-13	13460767
2019-04-14	12760218
2019-04-15	21368822
2019-04-16	21010583
2019-04-17	20783950
2019-04-18	20514017
2019-04-19	19677391
2019-04-20	13140848
2019-04-21	11966320
2019-04-22	20939760
2019-04-23	20931718
2019-04-24	20822839
2019-04-25	20825912
2019-04-26	19992972
2019-04-27	12882381
2019-04-28	11845888
2019-04-29	21438899
2019-04-30	20773465
2019-05-01	15942437
2019-05-02	20483544
2019-05-03	19166918
2019-05-04	12371004
2019-05-05	10796449
2019-05-06	13499621
2019-05-07	20925724
2019-05-08	20574921
2019-05-09	20436444
2019-05-10	19792966
2019-05-11	12952426
2019-05-12	11771947
2019-05-13	20889435
2019-05-14	20791936
2019-05-15	20737608
2019-05-16	21100949
2019-05-17	19906389
2019-05-18	13551189
2019-05-19	12609579
2019-05-20	21382741
2019-05-21	20611601
2019-05-22	20262627
2019-05-23	20006170
2019-05-24	19351840
2019-05-25	12808509
2019-05-26	11894724
2019-05-27	21457797
2019-05-28	20640881
2019-05-29	20454992
2019-05-30	20076986
2019-05-31	19718158
2019-06-01	12899251
2019-06-02	11991425
2019-06-03	20602882
2019-06-04	20495493
2019-06-05	19947683
2019-06-06	13780227
2019-06-07	19402666
2019-06-08	12818418
2019-06-09	12002080
2019-06-10	20882187
2019-06-11	20404826
2019-06-12	20412826
2019-06-13	21158478
2019-06-14	20162477
2019-06-15	13640258
2019-06-16	12357160
2019-06-17	21292212
2019-06-18	20696205
2019-06-19	20426426
2019-06-20	20214381
2019-06-21	19709645
2019-06-22	13071781
2019-06-23	11857709
2019-06-24	20646157
2019-06-25	20606636
2019-06-26	20615700
2019-06-27	20861049
2019-06-28	20235139
2019-06-29	13702004
2019-06-30	11882892
2019-07-01	21586106
2019-07-02	21238235
2019-07-03	20483415
2019-07-04	20171871
2019-07-05	19200994
2019-07-06	12480373
2019-07-07	11174228
2019-07-08	20355024
2019-07-09	20347461
2019-07-10	20757188
2019-07-11	20799033
2019-07-12	19383874
2019-07-13	12856003
2019-07-14	11619022
2019-07-15	20745628
2019-07-16	20583820
2019-07-17	20374490
2019-07-18	20347072
2019-07-19	19841057
2019-07-20	13224675
2019-07-21	11422452
2019-07-22	20470259
2019-07-23	20457263
2019-07-24	20053357
2019-07-25	20232659
2019-07-26	19373500
2019-07-27	12392401
2019-07-28	10958522
2019-07-29	19210408
2019-07-30	19238095
2019-07-31	18916372
